Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status
2014,January,ALL India,,,Consumer Food Price Index,10.07,8.81,9.68,F
2014,February,ALL India,,,Consumer Food Price Index,8.38,7.02,7.89,F
2014,March,ALL India,,,Consumer Food Price Index,9.02,7.96,8.64,F
2014,April,ALL India,,,Consumer Food Price Index,9.64,8.66,9.21,F
2014,May,ALL India,,,Consumer Food Price Index,9.55,7.92,8.89,F
2014,June,ALL India,,,Consumer Food Price Index,8.05,5.62,7.21,F
2014,July,ALL India,,,Consumer Food Price Index,9.27,8.18,8.85,F
2014,August,ALL India,,,Consumer Food Price Index,9.28,7.78,8.7,F
2014,September,ALL India,,,Consumer Food Price Index,6.33,5.99,6.22,F
2014,October,ALL India,,,Consumer Food Price Index,3.98,3.36,3.88,F
2014,November,ALL India,,,Consumer Food Price Index,1.29,0.88,1.13,F
2014,December,ALL India,,,Consumer Food Price Index,3.53,4.75,3.96,F
2015,January,ALL India,,,Consumer Food Price Index,5.78,7.05,6.14,F
2015,February,ALL India,,,Consumer Food Price Index,6.43,7.52,6.88,F
2015,March,ALL India,,,Consumer Food Price Index,5.78,6.76,6.14,F
2015,April,ALL India,,,Consumer Food Price Index,5.03,5.17,5.11,F
2015,May,ALL India,,,Consumer Food Price Index,4.74,4.84,4.8,F
2015,June,ALL India,,,Consumer Food Price Index,5.61,5.24,5.48,F
2015,July,ALL India,,,Consumer Food Price Index,2.75,1.01,2.15,F
2015,August,ALL India,,,Consumer Food Price Index,3.02,0.84,2.2,F
2015,September,ALL India,,,Consumer Food Price Index,4.05,3.45,3.88,F
2015,October,ALL India,,,Consumer Food Price Index,5.18,5.47,5.25,F
2015,November,ALL India,,,Consumer Food Price Index,5.75,6.53,6.07,F
2015,December,ALL India,,,Consumer Food Price Index,6.41,6.31,6.4,F
2016,January,ALL India,,,Consumer Food Price Index,6.93,6.5,6.85,F
2016,February,ALL India,,,Consumer Food Price Index,5.96,4.23,5.3,F
2016,March,ALL India,,,Consumer Food Price Index,5.79,3.98,5.21,F
2016,April,ALL India,,,Consumer Food Price Index,6.66,5.97,6.4,F
2016,May,ALL India,,,Consumer Food Price Index,7.67,7.24,7.47,F
2016,June,ALL India,,,Consumer Food Price Index,7.69,8.16,7.79,F
2016,July,ALL India,,,Consumer Food Price Index,8.18,8.8,8.35,F
2016,August,ALL India,,,Consumer Food Price Index,6.32,5.1,5.91,F
2016,September,ALL India,,,Consumer Food Price Index,4.5,2.88,3.96,F
